State,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Population,Violent Crime,Murder,Rape,Robbery,Assault,Property Crime,Burglary,Larceny,Vehicle theft
FLORIDA,2009,8987797,8127255,860542,9.574559817,18537969,113541,1017,5501,30911,76112,712010,181884,479867,50259
NEW HAMPSHIRE,2015,746316,720831,25485,3.414773367,1330608,2652,14,627,468,1543,23229,3467,18871,891
ARKANSAS,2008,1357724,1284177,73547,5.416933044,2855390,14374,162,1395,2735,10082,109508,33694,69303,6511
INDIANA,2011,3189020,2904401,284619,8.924967545,6516922,21626,312,1757,6978,12579,206055,50551,140688,14816
WISCONSIN,2008,3098945,2945883,153062,4.93916478,5627967,15421,146,1120,5126,9029,155127,27479,116128,11520
KENTUCKY,2017,2053412,1955241,98171,4.780872032,4454189,10056,263,1661,2958,5174,94833,20195,64394,10244
HAWAII,2017,695303,679865,15438,2.220326965,1427538,3577,39,567,1077,1894,40392,5549,29574,5269
DISTRICT OF COLUMBIA,2005,318130,295907,22223,6.985509069,550521,8032,195,166,3700,3971,26133,3577,14836,7720
NEBRASKA,2018,1036414,1006284,30130,2.907139425,1929268,5494,44,1233,756,3461,40126,5246,30006,4874
PENNSYLVANIA,2019,6573614,6287803,285811,4.347851882,12801989,39228,669,4351,9743,24465,179665,23354,143921,12390
WYOMING,2007,290745,283069,7676,2.640114189,522830,1251,16,160,84,991,14984,2348,11840,796
MISSOURI,2016,3072912,2933460,139452,4.538105875,6093000,31644,537,2554,6570,21983,170549,31710,120544,18295
NEW MEXICO,2005,906006,858723,47283,5.21883961,1928384,13541,143,1044,1904,10450,79995,21095,50907,7993
HAWAII,2002,601787,577616,24171,4.016537413,1244898,3262,24,372,1210,1656,71976,12722,49344,9910
VERMONT,2011,357674,337779,19895,5.562327706,626431,847,8,119,85,635,14464,3643,10322,499
GEORGIA,2004,4464789,4236308,228481,5.117397485,8829383,40217,613,2387,13656,23561,376656,82992,249426,44238
MONTANA,2005,485553,465732,19821,4.082149631,935670,2634,18,301,177,2138,29407,3642,23794,1971
INDIANA,2019,3404332,3291956,112376,3.300970646,6732219,24966,377,2475,5331,16783,132694,21795,97176,13723
MARYLAND,2000,2801396,2702435,98961,3.532560195,5296486,41663,430,1543,13560,26130,213422,39426,145423,28573
WISCONSIN,2007,3087605,2938881,148724,4.816807849,5601640,16296,183,1223,5474,9416,158959,27839,117687,13433
FLORIDA,2019,10284669,9950517,334152,3.249030183,21477737,81270,1122,8456,16217,55475,460846,63396,358402,39048
FLORIDA,2011,9260358,8334122,926236,10.0021619,19057542,98199,984,5274,25622,66319,671200,170171,461408,39621
MICHIGAN,2018,4944803,4739083,205720,4.16032752,9995915,44918,551,7690,5656,31021,165280,31651,116178,17451
NORTH DAKOTA,2000,342768,332618,10150,2.961186575,642200,523,4,169,56,294,14171,2093,11092,986
VIRGINIA,2017,4352985,4193294,159691,3.668540094,8470020,17632,453,2862,4332,9985,151855,18468,123215,10172
MICHIGAN,2012,4685472,4261970,423502,9.038619802,9883360,44922,689,4589,10434,29210,250101,65665,159321,25115
MINNESOTA,2000,2799120,2714003,85117,3.040848552,4919479,13813,151,2240,3713,7709,157798,26116,118250,13432
NEW HAMPSHIRE,2004,715494,688271,27223,3.804783828,1299500,2170,18,459,500,1193,26511,4966,19603,1942
PENNSYLVANIA,2014,6389069,6010079,378990,5.931850165,12787209,40164,614,3827,13534,22189,247016,45720,188256,13040
OHIO,2005,5880703,5531432,349271,5.939272907,11464042,40273,585,4557,18696,16435,419899,100063,278457,41379
NEBRASKA,2000,938857,912626,26231,2.793929214,1711263,5606,63,436,1147,3960,64479,10131,49118,5230
TENNESSEE,2003,2904575,2744355,160220,5.516125423,5841748,40177,395,2085,9372,28325,255833,63207,166216,26410
OREGON,2004,1845412,1709562,135850,7.361499763,3594586,10724,90,1283,2751,6600,166475,30072,117868,18535
NEVADA,2013,1370727,1234022,136705,9.973174819,2790136,16824,163,1418,5183,10060,79177,23047,46132,9998
VERMONT,2007,353271,339384,13887,3.930976502,621254,772,12,123,80,557,14430,3106,10683,641
NORTH DAKOTA,2011,387392,374439,12953,3.343641583,683932,1689,24,259,91,1315,13246,2433,9833,980
TEXAS,2019,13921798,13429088,492710,3.539126196,28995881,121474,1409,14824,28988,76253,693204,113902,501813,77489
MISSOURI,2010,3043253,2753916,289337,9.507490833,5988927,27252,420,1432,6132,19268,200414,44043,140320,16051
DELAWARE,2019,484658,467162,17496,3.609968266,973764,4115,48,310,790,2967,21931,2968,17359,1604
DELAWARE,2017,475213,453949,21264,4.474625063,961939,4361,54,334,1082,2891,23477,3970,18138,1369
NEW HAMPSHIRE,2017,758133,736919,21214,2.798189764,1342795,2668,14,663,419,1572,18555,2574,15066,915
NORTH CAROLINA,2008,4578481,4296606,281875,6.156517849,9222414,43099,604,2284,14334,25877,372961,111602,234616,26743
MISSISSIPPI,2012,1330461,1213249,117212,8.809878681,2984926,7786,220,822,2284,4460,83906,28076,51508,4322
WYOMING,2018,292632,280754,11878,4.059022937,577737,1226,13,243,100,870,10313,1525,7949,839
MAINE,2013,704247,657063,47184,6.699922044,1328302,1718,24,447,335,912,30447,6483,23050,914
NEBRASKA,2008,987553,955479,32074,3.247825686,1783432,5416,68,583,1299,3466,51338,8775,38375,4188
ILLINOIS,2018,6557425,6270843,286582,4.370343542,12741080,51490,884,5859,14208,30539,246264,39080,187591,19593
NEW YORK,2002,9294777,8718238,576539,6.202827674,19157532,95030,909,3885,36653,53583,442091,76700,318025,47366
NORTH DAKOTA,2008,371857,360452,11405,3.067039211,641481,1068,3,232,72,761,12152,2106,9164,882
VIRGINIA,2011,4205194,3929013,276181,6.567616143,8096604,15923,303,1536,5430,8654,182141,30597,141820,9724
MINNESOTA,2008,2914136,2756572,157564,5.406885609,5220393,13717,109,1805,4177,7626,148810,26410,112322,10078
GEORGIA,2009,4792162,4292835,499327,10.41966027,9829211,41880,566,2301,14603,24410,360400,98362,228893,33145
CALIFORNIA,2007,17910729,16955404,955325,5.333814162,36553215,191025,2260,9013,70542,109210,1108660,237025,652243,219392
NEW YORK,2009,9664019,8853909,810110,8.382744281,19541453,75176,778,2586,28136,43676,378315,62842,293603,21870
NEW YORK,2015,9536524,9035992,500532,5.248579042,19795791,75165,609,6074,23936,44546,317529,44276,257940,15313
NEW YORK,2000,9140552,8727544,413008,4.518414205,18976457,105111,952,3530,40539,60090,483078,87946,340901,54231
VERMONT,2001,338121,326970,11151,3.297931805,613090,644,7,107,107,423,16334,3150,12426,758
TENNESSEE,2007,3043276,2901958,141318,4.643614316,6156719,46380,397,2174,11022,32787,251724,61715,168351,21658
NEVADA,2015,1396760,1301093,95667,6.849208167,2890845,20118,178,1688,6287,11965,77137,22360,43426,11351
DISTRICT OF COLUMBIA,2004,313735,288323,25412,8.099829474,553523,7590,198,222,3202,3968,26896,3946,14542,8408
NEBRASKA,2016,1016074,984967,31107,3.061489616,1907116,5550,49,994,946,3561,43163,6444,31994,4725
RHODE ISLAND,2013,558748,505777,52971,9.48030239,1051511,2705,31,440,684,1550,25678,5607,17838,2233
HAWAII,2014,664015,635913,28102,4.23213331,1419561,3680,26,445,1107,2102,43297,7778,31640,3879
ALASKA,2009,359381,330720,28661,7.975101633,698473,4421,22,512,655,3232,20577,3597,15291,1689
ALASKA,2019,353167,333362,19805,5.607828591,731545,6343,69,1088,826,4360,21294,3563,15114,2617
INDIANA,2007,3202590,3054549,148041,4.622539882,6345289,21165,356,1742,7872,11195,215526,46919,149050,19557
CALIFORNIA,2008,18179911,16856084,1323827,7.281812326,36756666,185173,2142,8903,69385,104743,1080747,237835,650385,192527
NORTH DAKOTA,2002,342474,330858,11616,3.391790326,634110,496,5,163,58,270,14762,2243,11501,1018
MICHIGAN,2015,4760214,4501823,258391,5.428138315,9922576,41231,571,6450,7796,26414,187101,40041,131296,15764
OKLAHOMA,2016,1828066,1743228,84838,4.640860888,3923561,17648,245,2039,3162,12202,117037,29103,75779,12155
WASHINGTON,2015,3554830,3361252,193578,5.445492471,7170351,20394,211,2705,5449,12029,248369,50993,170509,26867
CONNECTICUT,2016,1893198,1801389,91809,4.849413532,3576452,8123,78,763,2703,4579,64664,10045,47512,7107
OKLAHOMA,2010,1765710,1650504,115206,6.524627487,3751351,17987,195,1450,3337,13005,128126,37476,80460,10190
INDIANA,2013,3193688,2953675,240013,7.515230041,6570902,23487,355,2142,7108,13882,187536,42909,130423,14204
CONNECTICUT,2015,1892088,1785789,106299,5.618079075,3590886,7845,117,773,2892,4063,65066,10053,48675,6338
IOWA,2012,1660190,1576241,83949,5.056589908,3074186,8112,45,871,962,6234,69839,17096,48720,4023
SOUTH DAKOTA,2003,421530,406903,14627,3.469978412,764309,1325,10,354,104,857,15299,2873,11552,874
ARKANSAS,2000,1260517,1207840,52677,4.178999569,2673400,11904,168,848,2001,8887,98115,21443,69740,6932
NEW YORK,2018,9826134,9424214,401920,4.0903167,19542209,68495,562,6575,18187,43171,281507,31137,237233,13137
MONTANA,2007,505098,488132,16966,3.358952124,957861,2754,14,290,191,2259,26489,3027,21707,1755
CALIFORNIA,2002,17246533,16081472,1165061,6.755334536,35116033,208388,2395,10198,64968,130827,1176484,238428,715692,222364
NEVADA,2003,1150380,1089894,60486,5.257914776,2241154,13765,197,874,5162,7532,96109,21977,53294,20838
NORTH CAROLINA,2009,4613205,4104080,509125,11.03625354,9380884,37929,494,2306,11825,23304,344098,107830,216244,20024
